index,accX_L,accY_L,accZ_L,total_acc_L,accX_R,accY_R,accZ_R,total_acc_R,L_act,R_act
1814,-0.818,0.426,-0.358,0.9890000000000001,-0.84,0.425,-0.568,1.099,Idle,Idle
1815,-0.8190000000000001,0.426,-0.35700000000000004,0.99,-0.845,0.39899999999999997,-0.601,1.111,Idle,Idle
1816,-0.818,0.42700000000000005,-0.354,0.988,-0.877,0.298,-0.629,1.12,Idle,Idle
1817,-0.818,0.42700000000000005,-0.358,0.99,-0.966,0.17800000000000002,-0.718,1.217,Idle,Idle
1818,-0.818,0.426,-0.355,0.988,-0.988,0.141,-0.722,1.232,Idle,Idle
1819,-0.8190000000000001,0.42700000000000005,-0.35600000000000004,0.99,-0.972,0.14300000000000002,-0.716,1.216,Idle,Idle
1820,-0.818,0.425,-0.354,0.987,-0.927,0.162,-0.696,1.17,Idle,Idle
1821,-0.8190000000000001,0.42700000000000005,-0.36,0.991,-0.871,0.31,-0.71,1.166,Idle,Idle
1822,-0.818,0.428,-0.35700000000000004,0.99,-0.899,0.21,-0.6759999999999999,1.1440000000000001,Idle,Idle
1823,-0.82,0.42700000000000005,-0.355,0.99,-0.904,0.213,-0.657,1.138,Idle,Idle
1824,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.903,0.213,-0.675,1.147,Idle,Idle
1825,-0.8170000000000001,0.425,-0.354,0.987,-0.87,0.243,-0.675,1.128,Idle,Idle
1826,-0.818,0.42700000000000005,-0.35600000000000004,0.9890000000000001,-0.862,0.131,-0.68,1.1059999999999999,Idle,Idle
1827,-0.8190000000000001,0.428,-0.355,0.99,-0.8220000000000001,-0.152,-0.621,1.041,Idle,Idle
1828,-0.8190000000000001,0.429,-0.35600000000000004,0.991,-0.7909999999999999,-0.177,-0.5770000000000001,0.995,Idle,Idle
1829,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.584,-0.039,-0.532,0.7909999999999999,Idle,Idle
1830,-0.818,0.42700000000000005,-0.354,0.988,-0.47700000000000004,0.504,-0.518,0.866,Idle,Idle
1831,-0.818,0.426,-0.354,0.988,-0.46299999999999997,0.586,-0.512,0.905,Idle,Idle
1832,-0.8190000000000001,0.426,-0.35600000000000004,0.9890000000000001,-0.509,0.601,-0.488,0.927,Idle,Idle
